Inputs		Function-Values
3.09		-0.839319
3.1		-0.870235
3.11		-0.901264
3.12		-0.932403
3.13		-0.963649
3.14		-0.994998
3.15		-1.02645
3.16		-1.05799
3.17		-1.08964
3.18		-1.12137
3.19		-1.15319
3.2		-1.18509
3.21		-1.21708
3.22		-1.24914
3.23		-1.28128
3.24		-1.31349
3.25		-1.34576
3.26		-1.3781
3.27		-1.41051
3.28		-1.44297
3.29		-1.47548
3.3		-1.50804
3.31		-1.54065
3.32		-1.5733
3.33		-1.606
3.34		-1.63872
3.35		-1.67148
3.36		-1.70427
3.37		-1.73709
3.38		-1.76992
3.39		-1.80277
3.4		-1.83564
3.41		-1.86851
3.42		-1.90139
3.43		-1.93428
3.44		-1.96716
3.45		-2.00004
3.46		-2.0329
3.47		-2.06576
3.48		-2.09859
3.49		-2.13141
3.5		-2.1642
3.51		-2.19696
3.52		-2.22969
3.53		-2.26238
3.54		-2.29503
3.55		-2.32763
3.56		-2.36019
3.57		-2.39269
3.58		-2.42513
3.59		-2.45751
3.6		-2.48983
3.61		-2.52208
3.62		-2.55425
3.63		-2.58635
3.64		-2.61836
3.65		-2.65029
3.66		-2.68213
3.67		-2.71387
3.68		-2.74552
3.69		-2.77706
3.7		-2.80849
3.71		-2.83982
3.72		-2.87103
3.73		-2.90211
3.74		-2.93308
3.75		-2.96391
3.76		-2.99462
3.77		-3.02519
3.78		-3.05561
3.79		-3.08589
3.8		-3.11603
